T_degC,Salnty,Depthm,STheta,R_TEMP
12.64,33.068,10,25.075,12.66
12.64,33.17,20,24.959,12.64
12.64,33.159,21,24.946,12.64
12.63,33.13,30,24.968,12.64
12.64,33.158,43,25.048,12.64
12.66,33.22,50,25.039,12.64
12.52,33.283,65,25.019,12.63
11.94,33.383,75,25.039,12.64
11.77,33.4,87,25.084,12.66
10.84,33.42,100,25.16,12.52
9.73,33.44,125,25.348,11.94
8.9,33.518,130,25.393,11.77
7.75,33.672,150,25.577,10.84
8.16,33.86,172,25.782,9.73
7.03,33.828,200,25.977,8.9
6.76,33.95,250,26.271,7.75
6.07,33.932,254,26.359,8.16
5.21,33.942,300,26.495,7.03
5.12,33.8,341,26.629,6.76
4.71,33.996,400,26.704,6.07
4.38,34.086,500,26.817,5.21
4.28,34.14,514,26.715,5.12
4.14,34.166,600,26.917,4.71
3.89,34.217,700,27.025,4.38
3.63,34.268,747,27.079,4.28
3.37,34.32,800,27.115,4.14
3.11,34.374,900,27.181,3.89
3.08,34.38,1000,27.248,3.63
12.2,33.13,1100,27.315,3.37
12.22,32.92,1200,27.383,3.11
12.22,32.9,1212,27.391,3.08
12.23,32.84,0,25.1,12.2
12.23,32.842,7,24.933,12.22
12.23,32.858,10,24.918,12.22
12.21,32.891,19,24.87,12.23
12.2,32.9,20,24.871,12.23
12.24,33.04,30,24.884,12.23
12.25,33.042,37,26.16295,12.23
12.49,33.096,50,24.914,12.21
12.6,33.12,55,24.923,12.2
11.74,33.164,74,25.024,12.24
9.91,33.293,75,25.024,12.25
9.83,33.3,100,25.021,12.49
8.3,33.66,111,25.018,12.6
8.06,33.77,125,25.215,11.74
7.61,33.874,150,25.637,9.91
7.21,33.93,151,25.656,9.83
7.1,33.934,200,26.18,8.3
5.93,33.934,217,26.302,8.06
5.49,33.91,250,26.45,7.61
5.13,33.936,291,26.551,7.21
4.67,33.993,300,26.569,7.1
4.44,34.05,400,26.724,5.93
4.39,34.061,443,26.758,5.49
4.11,34.12,500,26.822,5.13
3.84,34.179,600,26.919,4.67
3.56,34.24,681,26.99,4.44
3.52,34.25,700,27.004,4.39
12,32.97,800,27.081,4.11
8.86,32.94,900,27.156,3.84
12,32.94,1000,27.233,3.56
11.99,32.94,1016,27.245,3.52
11.99,32.94,0,25.013,12
11.99,32.963,9,25.528,8.86
12,33.01,10,24.99,12
11.95,33,20,24.992,11.99
11.7,32.95,22,24.992,11.99
11.57,32.983,30,25.01,11.99
11.2,33.08,44,25.045,12
10.67,33.15,50,25.047,11.95
9.36,33.356,67,25.055,11.7
8.88,33.44,75,25.105,11.57
8.56,33.585,90,25.247,11.2
8.31,33.78,100,25.396,10.67
7.98,33.806,125,25.776,9.36
,33.95,134,25.918,8.88
7.38,33.952,150,26.081,8.56
6.86,33.946,174,26.272,8.31
6.68,33.98,200,26.342,7.98
5.94,33.98,246,26.16295,7.9
5.34,33.98,250,26.543,7.38
5.22,33.996,300,26.611,6.86
4.73,34.082,319,26.663,6.68
4.37,34.18,400,26.759,5.94
4.32,34.2,479,26.832,5.34
4.11,34.229,500,26.859,5.22
3.84,34.266,600,26.983,4.73
3.58,34.304,700,27.101,4.37
3.32,34.343,719,27.122,4.32
3.2,34.36,800,27.168,4.11
11.7,32.88,900,27.225,3.84
11.62,32.84,1000,27.282,3.58
11.61,32.84,1100,27.338,3.32
11.58,32.84,1144,27.363,3.2
11.58,32.838,0,24.999,11.7
11.58,32.821,8,24.983,11.62
11.58,32.81,10,24.985,11.61
11.56,32.847,19,24.99,11.58
11.54,32.88,20,24.989,11.58
11.31,32.827,30,24.976,11.58
11.23,32.81,39,24.968,11.58
10.82,32.936,50,25,11.56
10.36,33.12,59,25.03,11.54
10.21,33.147,75,25.031,11.31
9.49,33.284,79,25.032,11.23
9.16,33.35,100,25.203,10.82
8.71,33.665,120,25.426,10.36
8.49,33.95,125,25.473,10.21
8.39,33.951,150,25.699,9.49
7.91,33.957,162,25.804,9.16
7.66,33.96,200,26.122,8.71
6.99,34.03,240,26.38,8.49
6.24,34.13,250,26.396,8.39
6.17,34.134,300,26.473,7.91
5.48,34.166,326,26.512,7.66
4.89,34.18,400,26.661,6.99
4.72,34.18,491,26.84,6.24
4.53,34.198,500,26.853,6.17
4.23,34.226,600,26.964,5.48
3.94,34.255,700,27.044,4.89
3.65,34.285,734,27.063,4.72
3.42,34.31,800,27.099,4.53
11.5,32.77,900,27.154,4.23
11.5,32.84,1000,27.207,3.94
11.5,32.843,1100,27.261,3.65
11.5,32.858,1178,27.303,3.42
11.5,32.86,0,24.95,11.5
11.52,32.81,8,25.005,11.5
11.53,32.75,10,25.007,11.5
11.49,32.769,20,25.019,11.5
11.42,32.83,21,25.021,11.5
11.4,32.908,30,24.978,11.52
11.37,32.95,41,24.93,11.53
11.13,32.983,50,24.952,11.49
10.63,33.04,62,25.013,11.42
10.56,33.058,75,25.077,11.4
9.73,33.302,82,25.115,11.37
9.17,33.49,100,25.185,11.13
8.66,33.706,123,25.317,10.63
8.28,33.89,125,25.344,10.56
8.25,33.898,150,25.674,9.73
7.78,33.994,167,25.912,9.17
7.55,34.02,200,26.162,8.66
6.93,34.089,247,26.364,8.28
6.3,34.13,250,26.375,8.25
6.16,34.131,300,26.521,7.78
5.48,34.13,327,26.574,7.55
4.9,34.131,400,26.716,6.93
4.8,34.13,481,26.833,6.3
4.55,34.187,500,26.852,6.16
4.24,34.258,600,26.935,5.48
3.93,34.332,700,27.004,4.9
3.63,34.406,720,27.015,4.8
3.57,34.42,800,27.088,4.55
11.4,32.95,900,27.178,4.24
11.38,32.9,1000,27.27,3.93
11.38,32.896,1100,27.359,3.63
11.39,32.864,1118,27.376,3.57
11.39,32.86,0,25.108,11.4
11.39,32.86,9,25.073,11.38
11.4,32.86,10,25.07,11.38
11.35,32.846,20,25.044,11.39
11.23,32.81,22,25.041,11.39
11.35,32.866,30,25.041,11.39
11.49,33.01,45,25.039,11.4
11.07,33.087,50,25.038,11.35
9.79,33.286,67,25.031,11.23
9.19,33.37,75,25.054,11.35
8.87,33.495,90,25.141,11.49
8.56,33.69,100,25.276,11.07
8.24,33.788,125,25.651,9.79
7.61,33.936,135,25.814,9.19
7.53,33.57,150,25.963,8.87
6.93,34.005,176,26.164,8.56
6.34,34,200,26.29,8.24
5.87,34.05,250,26.499,7.61
5.28,34.105,257,26.223,7.53
5.2,34.11,300,26.649,6.93
4.8,34.144,345,26.723,6.34
4.39,34.179,400,26.823,5.87
4.13,34.2,500,26.938,5.28
4.07,34.207,519,26.952,5.2
3.85,34.238,600,27.025,4.8
3.62,34.269,700,27.098,4.39
3.39,34.301,776,27.142,4.13
3.18,34.33,800,27.154,4.07
11.5,32.84,900,27.202,3.85
11.48,32.78,1000,27.25,3.62
11.48,32.781,1100,27.298,3.39
11.47,32.798,1190,27.342,3.18
11.47,32.81,0,25.005,11.5
11.47,32.782,9,24.962,11.48
11.48,32.7,10,24.963,11.48
11.48,32.709,20,24.978,11.47
11.45,32.77,24,24.987,11.47
11.4,32.793,30,24.966,11.47
10.97,32.92,47,24.901,11.48
10.71,32.95,50,24.908,11.48
9.6,33.104,71,24.961,11.45
8.9,33.22,75,24.988,11.4
8.62,33.342,94,25.164,10.97
7.98,33.69,100,25.233,10.71
7.69,33.686,125,25.54,9.6
7.11,33.706,140,25.743,8.9
6.9,33.73,150,25.882,8.62
6.55,33.73,180,26.251,7.98
5.68,33.73,200,26.29,7.69
5.51,33.786,250,26.388,7.11
5.11,34.006,274,26.436,6.9
5.04,34.13,300,26.482,6.55
4.85,34.187,371,26.592,5.68
4.49,34.269,400,26.657,5.51
4.14,34.308,500,26.879,5.11
4.08,34.31,550,26.986,5.04
3.89,34.315,600,27.053,4.85
3.65,34.321,700,27.159,4.49
3.42,34.328,800,27.228,4.14
3.18,34.337,818,27.235,4.08
3.09,34.34,900,27.259,3.89
11.3,32.79,1000,27.289,3.65
11.25,32.81,1100,27.317,3.42
11.18,32.803,1200,27.347,3.18
11.1,32.79,1238,27.358,3.09
10.88,32.843,0,25.002,11.3
9.88,33.08,10,25.027,11.25
9.4,33.08,20,25.034,11.18
9.39,33.093,25,25.038,11.1
9.1,33.48,30,25.118,10.88
9.08,33.492,50,25.474,9.88
8.67,33.724,74,25.553,9.4
8.26,33.84,75,25.565,9.39
8.25,33.842,99,25.914,9.1
7.57,33.859,100,25.927,9.08
7.53,33.86,125,26.173,8.67
6.95,33.92,149,26.327,8.26
6.42,33.98,150,26.33,8.25
5.71,33.952,200,26.443,7.57
5.68,33.95,203,26.45,7.53
5.22,34.069,250,26.578,6.95
4.85,34.225,300,26.697,6.42
4.84,34.23,400,26.765,5.71
4.52,34.28,405,26.767,5.68
4.23,34.307,500,26.917,5.22
4.01,34.31,600,27.083,4.85
3.98,34.313,603,27.089,4.84
3.76,34.332,700,27.164,4.52
3.54,34.352,800,27.217,4.23
3.32,34.372,886,27.243,4.01
3.1,34.394,900,27.249,3.98
3.04,34.4,1000,27.287,3.76
10.9,33.01,1100,27.325,3.54
10.77,32.92,1200,27.362,3.32
10.61,33.033,1300,27.401,3.1
10.53,33.1,1327,27.411,3.04
10.35,33.141,0,25.244,10.9
9.75,33.243,10,25.197,10.77
9.38,33.3,20,25.313,10.61
9.33,33.309,24,25.379,10.53
8.82,33.42,30,25.442,10.35
8.77,33.444,49,26.16295,9.77
8.43,33.636,50,25.623,9.75
8.2,33.78,73,25.728,9.38
8.12,33.799,75,25.743,9.33
7.47,33.89,97,25.911,8.82
7.37,33.897,100,25.938,8.77
6.87,33.925,125,26.141,8.43
6.62,33.93,145,26.288,8.2
6.56,33.944,150,26.315,8.12
6.23,34.05,192,26.482,7.47
6.15,34.066,200,26.501,7.37
5.57,34.163,250,26.593,6.87
5.11,34.22,287,26.631,6.62
5.01,34.224,300,26.65,6.56
4.61,34.235,386,26.777,6.23
4.27,34.229,400,26.8,6.15
4.14,34.22,500,26.95,5.57
4.01,34.23,578,27.05,5.11
3.76,34.25,600,27.065,5.01
3.51,34.271,700,27.119,4.61
3.27,34.292,800,27.151,4.27
3.07,34.31,846,27.158,4.14
11,33.28,900,27.18,4.01
10.89,33.3,1000,27.221,3.76
10.83,33.319,1100,27.263,3.51
10.8,33.345,1200,27.303,3.27
10.61,33.416,1279,27.336,3.07
10.6,33.42,0,25.437,11
9.89,33.567,10,25.472,10.89
9.82,33.58,20,25.498,10.83
9.27,33.671,25,26.16295,10.81
9.21,33.68,30,25.523,10.8
8.88,33.732,50,25.612,10.61
8.61,33.789,51,25.617,10.6
8.57,33.8,75,25.853,9.89
8.19,33.985,77,25.875,9.82
8.16,34,100,26.036,9.27
7.66,34,103,26.053,9.21
7.17,34,125,26.147,8.88
7.13,34,150,26.234,8.61
6.72,34.1,155,26.248,8.57
